Course,Title,Units,Lec/Sec,Days,Begin,End,Bldg/Room,Location,Instructor(s),
Architecture,,,,,,,,,,
48026,First Year Seminar: Architecture Edition II,3,A,TR,01:30PM,02:50PM,CFA 214,"Pittsburgh, Pennsylvania",Workinger,
48051,Study Abroad,0,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
48095,Spatial Concepts for Non-Architects I,10,W,MW,10:30AM,11:50AM,CMB 1030,"Doha, Qatar",Hutzell,
48105,Architecture Design Studio: Foundation II,12,Lec,WF,01:30PM,02:50PM,MM 103,"Pittsburgh, Pennsylvania",Gutschow,
,,,A,MWF,01:30PM,04:20PM,MM 320,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,B,MWF,01:30PM,04:20PM,MM 320,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,C,MWF,01:30PM,04:20PM,MM 320,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,D,MWF,01:30PM,04:20PM,MM 320,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,E,MWF,01:30PM,04:20PM,MM 320,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,F,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
48125,Digital Media II,6,14,M,10:30AM,11:20AM,MM 103,"Pittsburgh, Pennsylvania",Toulkeridou,
,Digital Media II:,,,,,,,,,
,Digital Media II,,A4,WF,09:30AM,10:50AM,BH 140F,"Pittsburgh, Pennsylvania",Toulkeridou,
,Digital Media II:,,,,,,,,,
,Digital Media II,,B4,WF,11:00AM,12:20PM,BH 140F,"Pittsburgh, Pennsylvania",Toulkeridou,
48126,Analog Media II,6,A3,MWF,10:00AM,11:50AM,MM 320,"Pittsburgh, Pennsylvania",Cooper,
48205,Architecture Design Studio: Elaboration II,18,Lec,M,01:30PM,02:50PM,MM 103,"Pittsburgh, Pennsylvania",Ficca,
,,,A,MWF,12:30PM,04:20PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,B,MWF,12:30PM,04:20PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,C,MWF,12:30PM,04:20PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,D,MWF,12:30PM,04:20PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,E,MWF,12:30PM,04:20PM,MM 312,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,F,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
48215,Materials and Assembly,9,A,TR,10:30AM,11:50AM,MM A14,"Pittsburgh, Pennsylvania",Damiani,
